,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,BldgType,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MoSold,SaleType,SaleCondition,SalePrice,log_SalePrice,AgeHome,YrsSnRmdl,TotBthrm,TotFloors,NeighbQual,HasFireplace,HasAlley,HasFence,HasPool,HasGarage,NearNeg,NearPos
0,RL,65,8450,Reg,Lvl,Inside,Gtl,1Fam,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,854,0,1710,3,1,Gd,Typ,NoFireplace,Attchd,RFn,2,TA,TA,Y,0,61,0,0,0,2,WD,Normal,208500,12.247694320220994,5,5,3.5,1,TA,1,0,0,0,1,0,0
1,RL,80,9600,Reg,Lvl,FR2,Gtl,1Fam,6,8,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,0,0,1262,3,1,TA,Typ,TA,Attchd,RFn,2,TA,TA,Y,298,0,0,0,0,5,WD,Normal,181500,12.109010932687042,31,31,2.5,1,Ex,1,0,0,0,1,1,0
2,RL,68,11250,IR1,Lvl,Inside,Gtl,1Fam,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,866,0,1786,3,1,Gd,Typ,TA,Attchd,RFn,2,TA,TA,Y,0,42,0,0,0,9,WD,Normal,223500,12.31716669303576,7,6,3.5,1,TA,1,0,0,0,1,0,0
3,RL,60,9550,IR1,Lvl,Corner,Gtl,1Fam,7,5,Gable,CompShg,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,756,0,1717,3,1,Gd,Typ,Gd,Detchd,Unf,3,TA,TA,Y,0,35,272,0,0,2,WD,Abnorml,140000,11.84939770159144,91,36,2.0,1,Ex,1,0,0,0,1,0,0
4,RL,84,14260,IR1,Lvl,FR2,Gtl,1Fam,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1053,0,2198,4,1,Gd,Typ,TA,Attchd,RFn,3,TA,TA,Y,192,84,0,0,0,12,WD,Normal,250000,12.429216196844383,8,8,3.5,1,Ex,1,0,0,0,1,0,0
5,RL,85,14115,IR1,Lvl,Inside,Gtl,1Fam,5,5,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,566,0,1362,1,1,TA,Typ,NoFireplace,Attchd,Unf,2,TA,TA,Y,40,30,0,320,0,10,WD,Normal,143000,11.870599909242044,16,14,2.5,1,Po,1,0,1,0,1,0,0
6,RL,75,10084,Reg,Lvl,Inside,Gtl,1Fam,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,186,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,0,0,1694,3,1,Gd,Typ,Gd,Attchd,RFn,2,TA,TA,Y,255,57,0,0,0,8,WD,Normal,307000,12.634603026569334,3,2,3.0,1,Gd,1,0,0,0,1,0,0
7,RL,80,10382,IR1,Lvl,Corner,Gtl,1Fam,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,240,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,983,0,2090,3,1,TA,Typ,TA,Attchd,RFn,2,TA,TA,Y,235,204,228,0,0,11,WD,Normal,200000,12.206072645530174,36,36,3.5,1,Gd,1,0,0,0,1,0,1
8,RM,51,6120,Reg,Lvl,Inside,Gtl,1Fam,7,5,Gable,CompShg,BrkFace,Wd Shng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,other,752,0,1774,2,2,TA,Min1,TA,Detchd,Unf,2,Fa,TA,Y,90,0,205,0,0,4,WD,Abnorml,129900,11.77452020265869,77,58,2.0,1,TA,1,0,0,0,1,1,0
9,RL,50,7420,Reg,Lvl,Corner,Gtl,2fmCon,5,6,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,0,0,1077,2,2,TA,Typ,TA,Attchd,RFn,1,Gd,TA,Y,0,4,0,0,0,1,WD,Normal,118000,11.678439903447801,69,58,2.0,1,Fa,1,0,0,0,1,1,0
